device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,delayed_flag
8,26,1970-01-01 02:00:23,2025-11-05 16:26:22,0,0,0
9,26,1970-01-01 02:00:23,2025-11-05 16:26:22,0,0,0
6,26,1970-01-01 02:00:23,2025-11-05 16:26:22,0,0,0
7,27,1970-01-01 02:00:24,2025-11-05 16:26:23,0,0,0
9,27,1970-01-01 02:00:24,2025-11-05 16:26:23,0,0,0
8,27,1970-01-01 02:00:24,2025-11-05 16:26:23,0,0,0
6,27,1970-01-01 02:00:24,2025-11-05 16:26:23,0,0,0
7,28,1970-01-01 02:00:25,2025-11-05 16:26:24,0,0,0
9,28,1970-01-01 02:00:25,2025-11-05 16:26:24,0,0,0
6,28,1970-01-01 02:00:25,2025-11-05 16:26:24,0,0,0
8,28,1970-01-01 02:00:25,2025-11-05 16:26:24,0,0,0
7,29,1970-01-01 02:00:26,2025-11-05 16:26:25,0,0,0
8,29,1970-01-01 02:00:26,2025-11-05 16:26:25,0,0,0
9,29,1970-01-01 02:00:26,2025-11-05 16:26:25,0,0,0
6,29,1970-01-01 02:00:26,2025-11-05 16:26:25,0,0,0
7,30,1970-01-01 02:00:27,2025-11-05 16:26:26,0,0,0
6,30,1970-01-01 02:00:27,2025-11-05 16:26:26,0,0,0
9,30,1970-01-01 02:00:27,2025-11-05 16:26:26,0,0,0
8,30,1970-01-01 02:00:27,2025-11-05 16:26:26,0,0,0
7,31,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
7,33,1970-01-01 02:00:31,2025-11-05 16:26:30,0,1,0
7,34,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
7,32,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,1
6,32,1970-01-01 02:00:31,2025-11-05 16:26:30,0,1,0
6,34,1970-01-01 02:00:31,2025-11-05 16:26:30,0,1,0
8,31,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
8,32,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
9,31,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
6,33,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,1
9,32,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
8,33,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
9,33,1970-01-01 02:00:31,2025-11-05 16:26:30,0,0,0
